swElapsed,time_delta_s,alt_prev_m,alt_m,speed_prev_kph,speed_kph,vs_ms,vs_comp_ms,te_ms,te_b21_ms
0.9987,1.0000,518.3133,516.5473,115.939,116.785,-1.80, 0.77,-1.00,-1.02
1.0006,1.0000,516.5473,514.5407,116.785,117.722,-2.11, 0.86,-1.14,-1.25
1.0005,1.0000,514.5407,512.1764,117.722,118.879,-2.43, 1.07,-1.29,-1.36
1.0000,1.0000,512.1764,509.6449,118.879,119.983,-2.55, 1.03,-1.50,-1.51
1.0017,1.0000,509.6449,507.0455,119.983,121.309,-2.65, 1.25,-1.34,-1.40
0.9980,1.0000,507.0455,504.2422,121.309,122.998,-2.83, 1.62,-1.19,-1.21
0.9997,1.0000,504.2422,501.4142,122.998,124.627,-2.83, 1.58,-1.25,-1.24
1.0044,1.0000,501.4142,498.6002,124.627,126.209,-2.80, 1.55,-1.25,-1.25
0.9976,1.0000,498.6002,495.8874,126.209,127.592,-2.67, 1.38,-1.34,-1.29
1.0003,1.0000,495.8874,493.4145,127.592,128.665,-2.39, 1.08,-1.40,-1.31
0.9978,1.0000,493.4145,491.0540,128.665,129.904,-2.40, 1.26,-1.11,-1.15
0.9998,1.0000,491.0540,488.6634,129.904,130.810,-2.33, 0.93,-1.47,-1.40
0.9997,1.0000,488.6634,486.5299,130.810,131.299,-2.07, 0.50,-1.63,-1.57
1.0015,1.0000,486.5299,484.5883,131.299,131.618,-1.92, 0.33,-1.61,-1.59
0.9981,1.0000,484.5883,482.8484,131.618,131.362,-1.65,-0.26,-2.01,-1.91
0.9999,1.0000,482.8484,481.4438,131.362,131.038,-1.37,-0.33,-1.74,-1.71
1.0043,1.0000,481.4438,480.1005,131.038,130.876,-1.31,-0.17,-1.50,-1.48
0.9996,1.0000,480.1005,479.0113,130.876,130.552,-1.04,-0.33,-1.42,-1.37
0.9967,1.0000,479.0113,477.7538,130.552,130.522,-1.39,-0.03,-1.29,-1.42
1.0015,1.0000,477.7538,475.9786,130.522,130.782,-1.89, 0.27,-1.51,-1.62
1.0024,1.0000,475.9786,473.9008,130.782,131.235,-2.17, 0.47,-1.61,-1.71
0.9982,1.0000,473.9008,471.2091,131.235,132.336,-2.91, 1.14,-1.56,-1.77
0.9970,1.0000,471.2091,467.7621,132.336,134.150,-3.61, 1.90,-1.56,-1.71
1.0039,1.0000,467.7621,463.6937,134.150,136.423,-4.26, 2.41,-1.65,-1.85
0.9979,1.0000,463.6937,458.8369,136.423,139.402,-5.06, 3.22,-1.64,-1.84
1.0017,1.0000,458.8369,453.2326,139.402,142.810,-5.76, 3.77,-1.83,-1.99
0.9974,1.0000,453.2326,447.1166,142.810,146.442,-6.23, 4.12,-2.00,-2.11
1.0000,1.0000,447.1166,440.6251,146.442,150.226,-6.53, 4.40,-2.09,-2.12
1.0018,1.0000,440.6251,434.0895,150.226,154.037,-6.52, 4.55,-1.98,-1.98
